YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
1998,First Round,2,Cincinnati,65,15,Northern Arizona,62,Not Upset,0,Cincinnati,2,15,65,62,3,2,15
1998,First Round,6,UCLA,65,11,Miami (Fla.),62,Not Upset,0,UCLA,6,11,65,62,3,6,11
1998,Sweet 16,3,Utah,65,10,West Virginia,62,Not Upset,0,Utah,3,10,65,62,3,3,10
2015,First Round,7,Virginia Commonwealth,72,10,Ohio State,75,Upset,1,Ohio State,10,7,75,72,3,7,10
1997,First Round,5,California,55,12,Princeton,52,Not Upset,0,California,5,12,55,52,3,5,12
1997,First Round,2,Duke,71,15,Murray St.,68,Not Upset,0,Duke,2,15,71,68,3,2,15
2003,First Round,8,LSU,56,9,Purdue,80,Upset,1,Purdue,9,8,80,56,24,8,9
2009,First Round,7,Clemson,59,10,Michigan,62,Upset,1,Michigan,10,7,62,59,3,7,10
1996,Sweet 16,3,Arizona,80,2,Kansas,83,Not Upset,0,Kansas,2,3,83,80,3,2,3
1996,Second Round,10,Texas,62,2,Wake Forest,65,Not Upset,0,Wake Forest,2,10,65,62,3,2,10
1995,First Round,7,Iowa State,64,10,Florida,61,Not Upset,0,Iowa State,7,10,64,61,3,7,10
1986,Second Round,7,Iowa State,72,2,Michigan,69,Upset,1,Iowa State,7,2,72,69,3,2,7
1994,First Round,7,Virginia,57,10,New Mexico,54,Not Upset,0,Virginia,7,10,57,54,3,7,10
1993,Sweet 16,3,Florida State,81,7,Western Kentucky,78,Not Upset,0,Florida State,3,7,81,78,3,3,7
1993,First Round,6,Illinois,75,11,Long Beach State,72,Not Upset,0,Illinois,6,11,75,72,3,6,11
1993,Second Round,1,Indiana,73,9,Xavier,70,Not Upset,0,Indiana,1,9,73,70,3,1,9
1993,Final Four,1,Kentucky,78,1,Michigan,81,Not Upset,0,Michigan,1,1,81,78,3,1,1
2018,First Round,8,Virginia Tech,83,9,Alabama,86,Upset,1,Alabama,9,8,86,83,3,8,9
1993,First Round,7,Western Kentucky,55,10,Memphis,52,Not Upset,0,Western Kentucky,7,10,55,52,3,7,10
2014,Elite Eight,8,Kentucky,75,2,Michigan,72,Upset,1,Kentucky,8,2,75,72,3,2,8
1992,Final Four,1,Duke,81,2,Indiana,78,Not Upset,0,Duke,1,2,81,78,3,1,2
2011,Elite Eight,8,Butler,74,2,Florida,71,Upset,1,Butler,8,2,74,71,3,2,8
2010,First Round,8,UNLV,66,9,Northern Iowa,69,Upset,1,Northern Iowa,9,8,69,66,3,8,9
1991,First Round,8,Arizona State,79,9,Rutgers,76,Not Upset,0,Arizona State,8,9,79,76,3,8,9
1991,Second Round,12,Eastern Michigan,71,13,Penn State,68,Not Upset,0,Eastern Michigan,12,13,71,68,3,12,13
1991,First Round,7,Florida State,75,10,Southern California,72,Not Upset,0,Florida State,7,10,75,72,3,7,10
1991,First Round,7,Iowa,76,10,East Tennessee State,73,Not Upset,0,Iowa,7,10,76,73,3,7,10
1991,Elite Eight,1,North Carolina,75,10,Temple,72,Not Upset,0,North Carolina,1,10,75,72,3,1,10
1990,Elite Eight,4,Arkansas,88,10,Texas,85,Not Upset,0,Arkansas,4,10,88,85,3,4,10
1990,Second Round,5,LSU,91,4,Georgia Tech,94,Not Upset,0,Georgia Tech,4,5,94,91,3,4,5
1990,Second Round,6,Minnesota,81,14,Northern Iowa,78,Not Upset,0,Minnesota,6,14,81,78,3,6,14
1990,First Round,6,Minnesota,64,11,UTEP,61,Not Upset,0,Minnesota,6,11,64,61,3,6,11
1995,First Round,8,Minnesota,61,9,St. Louis,64,Upset,1,St. Louis,9,8,64,61,3,8,9
1994,First Round,8,Washington State,64,9,Boston College,67,Upset,1,Boston College,9,8,67,64,3,8,9
1989,Elite Eight,1,Illinois,89,2,Syracuse,86,Not Upset,0,Illinois,1,2,89,86,3,1,2
1989,Sweet 16,3,Missouri,80,2,Syracuse,83,Not Upset,0,Syracuse,2,3,83,80,3,2,3
1987,First Round,8,Georgia,79,9,Kansas State,82,Upset,1,Kansas State,9,8,82,79,3,8,9
1989,First Round,5,Virginia,100,12,Providence,97,Not Upset,0,Virginia,5,12,100,97,3,5,12
1988,First Round,6,Florida,62,11,St. John's,59,Not Upset,0,Florida,6,11,62,59,3,6,11
1988,First Round,8,Georgetown,66,9,LSU,63,Not Upset,0,Georgetown,8,9,66,63,3,8,9
1985,Sweet 16,8,Villanova,46,5,Maryland,43,Upset,1,Villanova,8,5,46,43,3,5,8
1985,First Round,8,Southern California,55,9,Illinois State,58,Upset,1,Illinois State,9,8,58,55,3,8,9
1988,Second Round,6,Kansas,61,14,Murray St.,58,Not Upset,0,Kansas,6,14,61,58,3,6,14
2018,Sweet 16,9,Kansas State,61,5,Kentucky,58,Upset,1,Kansas State,9,5,61,58,3,5,9
2014,Second Round,10,Stanford,60,2,Kansas,57,Upset,1,Stanford,10,2,60,57,3,2,10
1988,First Round,7,Vanderbilt,80,10,Utah State,77,Not Upset,0,Vanderbilt,7,10,80,77,3,7,10
2005,Second Round,10,North Carolina State,65,2,Connecticut,62,Upset,1,North Carolina State,10,2,65,62,3,2,10
1987,Second Round,1,Georgetown,82,9,Ohio State,79,Not Upset,0,Georgetown,1,9,82,79,3,1,9
1987,Second Round,6,Providence,90,14,Austin Peay,87,Not Upset,0,Providence,6,14,90,87,3,6,14
1987,Elite Eight,1,UNLV,84,2,Iowa,81,Not Upset,0,UNLV,1,2,84,81,3,1,2
2012,Second Round,11,North Carolina State,66,3,Georgetown,63,Upset,1,North Carolina State,11,3,66,63,3,3,11
1988,Second Round,11,Rhode Island,97,3,Syracuse,94,Upset,1,Rhode Island,11,3,97,94,3,3,11
1985,Second Round,1,St. John's,68,9,Arkansas,65,Not Upset,0,St. John's,1,9,68,65,3,1,9
1985,First Round,8,Temple,60,9,Virginia Tech,57,Not Upset,0,Temple,8,9,60,57,3,8,9
1985,Second Round,12,Kentucky,64,4,UNLV,61,Upset,1,Kentucky,12,4,64,61,3,4,12
2019,First Round,11,Belmont,77,6,Maryland,79,Not Upset,0,Maryland,6,11,79,77,2,6,11
2019,Sweet 16,1,Duke,75,4,Virginia Tech,73,Not Upset,0,Duke,1,4,75,73,2,1,4
2019,Second Round,3,LSU,69,6,Maryland,67,Not Upset,0,LSU,3,6,69,67,2,3,6
2014,Sweet 16,1,Virginia,59,4,Michigan State,61,Upset,1,Michigan State,4,1,61,59,2,1,4
2014,Second Round,1,Wichita State,76,8,Kentucky,78,Upset,1,Kentucky,8,1,78,76,2,1,8
2013,Sweet 16,1,Kansas,85,4,Michigan,87,Upset,1,Michigan,4,1,87,85,2,1,4
2011,Sweet 16,1,Ohio State,60,4,Kentucky,62,Upset,1,Kentucky,4,1,62,60,2,1,4
2010,Second Round,1,Kansas,67,9,Northern Iowa,69,Upset,1,Northern Iowa,9,1,69,67,2,1,9
2018,First Round,6,Houston,67,11,San Diego State,65,Not Upset,0,Houston,6,11,67,65,2,6,11
2009,Elite Eight,1,Pittsburgh,76,3,Villanova,78,Upset,1,Villanova,3,1,78,76,2,1,3
2006,Elite Eight,1,Connecticut,84,11,George Mason,86,Upset,1,George Mason,11,1,86,84,2,1,11
2004,Elite Eight,1,St. Joseph's,62,2,Oklahoma State,64,Upset,1,Oklahoma State,2,1,64,62,2,1,2
2017,Elite Eight,1,North Carolina,75,2,Kentucky,73,Not Upset,0,North Carolina,1,2,75,73,2,1,2
2017,First Round,8,Northwestern,68,9,Vanderbilt,66,Not Upset,0,Northwestern,8,9,68,66,2,8,9
2017,First Round,5,Notre Dame,60,12,Princeton,58,Not Upset,0,Notre Dame,5,12,60,58,2,5,12
1998,Elite Eight,1,Duke,84,2,Kentucky,86,Upset,1,Kentucky,2,1,86,84,2,1,2
2016,First Round,7,Iowa,72,10,Temple,70,Not Upset,0,Iowa,7,10,72,70,2,7,10
2016,First Round,8,St. Joseph's,78,9,Cincinnati,76,Not Upset,0,St. Joseph's,8,9,78,76,2,8,9
1991,Final Four,1,UNLV,77,2,Duke,79,Upset,1,Duke,2,1,79,77,2,1,2
2015,Elite Eight,1,Kentucky,68,3,Notre Dame,66,Not Upset,0,Kentucky,1,3,68,66,2,1,3
2015,First Round,4,Louisville,57,13,UC Irvine,55,Not Upset,0,Louisville,4,13,57,55,2,4,13
2015,First Round,4,North Carolina,67,13,Harvard,65,Not Upset,0,North Carolina,4,13,67,65,2,4,13
1990,Second Round,1,Oklahoma,77,8,North Carolina,79,Upset,1,North Carolina,8,1,79,77,2,1,8
1989,Final Four,1,Illinois,81,3,Michigan,83,Upset,1,Michigan,3,1,83,81,2,1,3
1986,Elite Eight,1,Kentucky,57,11,LSU,59,Upset,1,LSU,11,1,59,57,2,1,11
1985,Elite Eight,1,Oklahoma,61,2,Memphis,63,Upset,1,Memphis,2,1,63,61,2,1,2
1985,National Championship,1,Georgetown,64,8,Villanova,66,Upset,1,Villanova,8,1,66,64,2,1,8
2012,First Round,2,Missouri,84,15,Norfolk State,86,Upset,1,Norfolk State,15,2,86,84,2,2,15
2014,Second Round,6,North Carolina,83,3,Iowa State,85,Not Upset,0,Iowa State,3,6,85,83,2,3,6
2014,First Round,6,North Carolina,79,11,Providence,77,Not Upset,0,North Carolina,6,11,79,77,2,6,11
2014,Sweet 16,11,Tennessee,71,2,Michigan,73,Not Upset,0,Michigan,2,11,73,71,2,2,11
2014,First Round,7,Texas,87,10,Arizona State,85,Not Upset,0,Texas,7,10,87,85,2,7,10
2013,Second Round,6,Butler,72,3,Marquette,74,Not Upset,0,Marquette,3,6,74,72,2,3,6
2013,First Round,6,Memphis,54,11,St. Mary's (Cal.),52,Not Upset,0,Memphis,6,11,54,52,2,6,11
2004,Final Four,3,Georgia Tech,67,2,Oklahoma State,65,Upset,1,Georgia Tech,3,2,67,65,2,2,3
2012,Final Four,2,Ohio State,62,2,Kansas,64,Not Upset,0,Kansas,2,2,64,62,2,2,2
1999,First Round,3,North Carolina,74,14,Weber State,76,Upset,1,Weber State,14,3,76,74,2,3,14
2012,Second Round,12,Virginia Commonwealth,61,4,Indiana,63,Not Upset,0,Indiana,4,12,63,61,2,4,12
2011,Elite Eight,5,Arizona,63,3,Connecticut,65,Not Upset,0,Connecticut,3,5,65,63,2,3,5
2011,First Round,5,Arizona,77,12,Memphis,75,Not Upset,0,Arizona,5,12,77,75,2,5,12
2011,First Round,8,Butler,60,9,Old Dominion,58,Not Upset,0,Butler,8,9,60,58,2,8,9
2011,Second Round,1,Duke,73,8,Michigan,71,Not Upset,0,Duke,1,8,73,71,2,1,8
2011,First Round,4,Kentucky,59,13,Princeton,57,Not Upset,0,Kentucky,4,13,59,57,2,4,13
1989,First Round,3,Stanford,78,14,Siena,80,Upset,1,Siena,14,3,80,78,2,3,14
2011,First Round,7,Temple,66,10,Penn State,64,Not Upset,0,Temple,7,10,66,64,2,7,10
2011,First Round,7,UCLA,78,10,Michigan State,76,Not Upset,0,UCLA,7,10,78,76,2,7,10
2010,National Championship,5,Butler,59,1,Duke,61,Not Upset,0,Duke,1,5,61,59,2,1,5
2010,Second Round,5,Butler,54,13,Murray St.,52,Not Upset,0,Butler,5,13,54,52,2,5,13
2013,First Round,4,Kansas State,61,13,La Salle,63,Upset,1,La Salle,13,4,63,61,2,4,13
2010,Final Four,5,Michigan State,50,5,Butler,52,Not Upset,0,Butler,5,5,52,50,2,5,5
2007,First Round,8,Arizona,63,9,Purdue,72,Upset,1,Purdue,9,8,72,63,9,8,9
2001,First Round,4,Oklahoma,68,13,Indiana State,70,Upset,1,Indiana State,13,4,70,68,2,4,13
1996,First Round,4,UCLA,41,13,Princeton,43,Upset,1,Princeton,13,4,43,41,2,4,13
2009,First Round,8,Oklahoma State,77,9,Tennessee,75,Not Upset,0,Oklahoma State,8,9,77,75,2,8,9
2009,Second Round,12,Western Kentucky,81,4,Gonzaga,83,Not Upset,0,Gonzaga,4,12,83,81,2,4,12
2008,Elite Eight,1,Kansas,59,10,Davidson,57,Not Upset,0,Kansas,1,10,59,57,2,1,10
2016,First Round,5,Purdue,83,12,Arkansas-Little Rock,85,Upset,1,Arkansas-Little Rock,12,5,85,83,2,5,12
2008,Second Round,1,UCLA,51,9,Texas A&M,49,Not Upset,0,UCLA,1,9,51,49,2,1,9
2014,First Round,5,Virginia Commonwealth,75,12,Stephen F. Austin,77,Upset,1,Stephen F. Austin,12,5,77,75,2,5,12
2007,First Round,3,Oregon,58,14,Miami (Ohio),56,Not Upset,0,Oregon,3,14,58,56,2,3,14
2010,Second Round,5,Michigan State,85,4,Maryland,83,Upset,1,Michigan State,5,4,85,83,2,4,5
1997,First Round,8,Purdue,83,9,Rhode Island,76,Not Upset,0,Purdue,8,9,83,76,7,8,9
2009,First Round,5,Florida State,59,12,Wisconsin,61,Upset,1,Wisconsin,12,5,61,59,2,5,12
2007,First Round,5,Virginia Tech,54,12,Illinois,52,Not Upset,0,Virginia Tech,5,12,54,52,2,5,12
2008,First Round,5,Drake,99,12,Western Kentucky,101,Upset,1,Western Kentucky,12,5,101,99,2,5,12
2006,Sweet 16,3,Gonzaga,71,2,UCLA,73,Not Upset,0,UCLA,2,3,73,71,2,2,3
2004,Second Round,5,Syracuse,72,4,Maryland,70,Upset,1,Syracuse,5,4,72,70,2,4,5
2006,First Round,2,Tennessee,63,15,Winthrop,61,Not Upset,0,Tennessee,2,15,63,61,2,2,15
2002,First Round,5,Marquette,69,12,Tulsa,71,Upset,1,Tulsa,12,5,71,69,2,5,12
2005,First Round,7,West Virginia,63,10,Creighton,61,Not Upset,0,West Virginia,7,10,63,61,2,7,10
1990,First Round,5,Illinois,86,12,Dayton,88,Upset,1,Dayton,12,5,88,86,2,5,12
2003,First Round,8,California,76,9,North Carolina State,74,Not Upset,0,California,8,9,76,74,2,8,9
1986,Second Round,5,Alabama,58,4,Illinois,56,Upset,1,Alabama,5,4,58,56,2,4,5
2018,First Round,6,Miami (Fla.),62,11,Loyola (Ill.),64,Upset,1,Loyola (Ill.),11,6,64,62,2,6,11
2003,First Round,6,Maryland,75,11,UNC Wilmington,73,Not Upset,0,Maryland,6,11,75,73,2,6,11
2010,First Round,6,Marquette,78,11,Washington,80,Upset,1,Washington,11,6,80,78,2,6,11
2002,Sweet 16,6,Texas,70,2,Oregon,72,Not Upset,0,Oregon,2,6,72,70,2,2,6
2007,First Round,6,Duke,77,11,Virginia Commonwealth,79,Upset,1,Virginia Commonwealth,11,6,79,77,2,6,11
2005,Second Round,6,Texas Tech,71,3,Gonzaga,69,Upset,1,Texas Tech,6,3,71,69,2,3,6
2004,Second Round,6,Vanderbilt,75,3,North Carolina State,73,Upset,1,Vanderbilt,6,3,75,73,2,3,6
2001,First Round,3,Mississippi,72,14,Iona,70,Not Upset,0,Mississippi,3,14,72,70,2,3,14
2003,Sweet 16,6,Maryland,58,7,Michigan State,60,Upset,1,Michigan State,7,6,60,58,2,6,7
2000,Second Round,5,Kentucky,50,4,Syracuse,52,Not Upset,0,Syracuse,4,5,52,50,2,4,5
2000,Sweet 16,3,Oklahoma State,68,10,Seton Hall,66,Not Upset,0,Oklahoma State,3,10,68,66,2,3,10
1995,Second Round,6,Memphis,75,3,Purdue,73,Upset,1,Memphis,6,3,75,73,2,3,6
1993,First Round,6,Kansas State,53,11,Tulane,55,Upset,1,Tulane,11,6,55,53,2,6,11
1992,Second Round,6,Memphis,82,3,Arkansas,80,Upset,1,Memphis,6,3,82,80,2,3,6
