YEAR ,ROUND ,SEED 1,TEAM 1,SCORE 2,SEED 2,TEAM 2,SCORE ,Upset,Upset Val,W_Team,W_Seed,L_Seed,W_Score,L_Score,Difference,LowerSeed,HigherSeed
1998,First Round,1,Kansas,110,16,Prairie View,52,Not Upset,0,Kansas,1,16,110,52,58,1,16
2009,First Round,1,Connecticut,103,16,Chattanooga,47,Not Upset,0,Connecticut,1,16,103,47,56,1,16
1986,First Round,2,Syracuse,101,15,Brown,52,Not Upset,0,Syracuse,2,15,101,52,49,2,15
2013,First Round,4,Syracuse,81,13,Montana,34,Not Upset,0,Syracuse,4,13,81,34,47,4,13
2002,First Round,1,Duke,84,16,Winthrop,37,Not Upset,0,Duke,1,16,84,37,47,1,16
2013,First Round,5,Virginia Commonwealth,88,12,Akron,42,Not Upset,0,Virginia Commonwealth,5,12,88,42,46,5,12
1995,First Round,1,Kentucky,113,16,Mount St. Mary's,67,Not Upset,0,Kentucky,1,16,113,67,46,1,16
1993,Second Round,1,North Carolina,112,8,Rhode Island,67,Not Upset,0,North Carolina,1,8,112,67,45,1,8
2016,Final Four,2,Villanova,95,2,Oklahoma,51,Not Upset,0,Villanova,2,2,95,51,44,2,2
1993,First Round,1,Kentucky,96,16,Rider,52,Not Upset,0,Kentucky,1,16,96,52,44,1,16
2009,First Round,1,North Carolina,101,16,Radford,58,Not Upset,0,North Carolina,1,16,101,58,43,1,16
2007,First Round,1,Florida,112,16,Jackson State,69,Not Upset,0,Florida,1,16,112,69,43,1,16
2001,First Round,1,Duke,95,16,Monmouth,52,Not Upset,0,Duke,1,16,95,52,43,1,16
1993,First Round,1,Indiana,97,16,Wright State,54,Not Upset,0,Indiana,1,16,97,54,43,1,16
1989,Second Round,1,Oklahoma,124,9,Louisiana Tech,81,Not Upset,0,Oklahoma,1,9,124,81,43,1,9
2011,First Round,1,Duke,87,16,Hampton,45,Not Upset,0,Duke,1,16,87,45,42,1,16
2001,First Round,1,Illinois,96,16,Northwestern State,54,Not Upset,0,Illinois,1,16,96,54,42,1,16
2015,First Round,1,Villanova,93,16,Lafayette,52,Not Upset,0,Villanova,1,16,93,52,41,1,16
2008,First Round,1,UCLA,70,16,Mississippi Valley State,29,Not Upset,0,UCLA,1,16,70,29,41,1,16
1999,Second Round,1,Duke,97,9,Tulsa,56,Not Upset,0,Duke,1,9,97,56,41,1,9
1999,First Round,1,Duke,99,16,Florida A&M,58,Not Upset,0,Duke,1,16,99,58,41,1,16
1991,First Round,1,Arkansas,117,16,Georgia State,76,Not Upset,0,Arkansas,1,16,117,76,41,1,16
2014,First Round,2,Wisconsin,75,15,American,35,Not Upset,0,Wisconsin,2,15,75,35,40,2,15
2007,First Round,1,Kansas,107,16,Niagara,67,Not Upset,0,Kansas,1,16,107,67,40,1,16
1988,First Round,1,Arizona,90,16,Cornell,50,Not Upset,0,Arizona,1,16,90,50,40,1,16
2017,First Round,1,North Carolina,103,16,Texas Southern,64,Not Upset,0,North Carolina,1,16,103,64,39,1,16
2016,First Round,1,Oregon,91,16,Holy Cross,52,Not Upset,0,Oregon,1,16,91,52,39,1,16
2015,Sweet 16,1,Kentucky,78,5,West Virginia,39,Not Upset,0,Kentucky,1,5,78,39,39,1,5
2009,Sweet 16,1,Louisville,103,12,Arizona,64,Not Upset,0,Louisville,1,12,103,64,39,1,12
2008,First Round,1,North Carolina,113,16,Mount St. Mary's,74,Not Upset,0,North Carolina,1,16,113,74,39,1,16
1999,First Round,1,Auburn,80,16,Winthrop,41,Not Upset,0,Auburn,1,16,80,41,39,1,16
1998,First Round,1,Arizona,99,16,Nicholls State,60,Not Upset,0,Arizona,1,16,99,60,39,1,16
1994,First Round,1,Purdue,98,16,Central Florida,67,Not Upset,0,Purdue,1,16,98,67,31,1,16
1996,First Round,3,Arizona,90,14,Valparaiso,51,Not Upset,0,Arizona,3,14,90,51,39,3,14
1992,First Round,2,Indiana,94,15,Eastern Illinois,55,Not Upset,0,Indiana,2,15,94,55,39,2,15
2019,First Round,1,Gonzaga,87,16,Fairleigh Dickinson,49,Not Upset,0,Gonzaga,1,16,87,49,38,1,16
2017,First Round,1,Kansas,100,16,UC Davis,62,Not Upset,0,Kansas,1,16,100,62,38,1,16
2002,First Round,1,Cincinnati,90,16,Boston University,52,Not Upset,0,Cincinnati,1,16,90,52,38,1,16
1997,First Round,1,Kentucky,92,16,Montana,54,Not Upset,0,Kentucky,1,16,92,54,38,1,16
1996,First Round,2,Kansas,92,15,South Carolina State,54,Not Upset,0,Kansas,2,15,92,54,38,2,15
1996,First Round,1,Kentucky,110,16,San Jose State,72,Not Upset,0,Kentucky,1,16,110,72,38,1,16
1992,First Round,4,Cincinnati,85,13,Delaware,47,Not Upset,0,Cincinnati,4,13,85,47,38,4,13
1996,First Round,2,Georgetown,93,15,Mississippi Valley State,56,Not Upset,0,Georgetown,2,15,93,56,37,2,15
1993,Second Round,7,New Mexico State,55,2,Cincinnati,92,Not Upset,0,Cincinnati,2,7,92,55,37,2,7
1989,Elite Eight,5,Virginia,65,3,Michigan,102,Not Upset,0,Michigan,3,5,102,65,37,3,5
2016,First Round,1,Virginia,81,16,Hampton,45,Not Upset,0,Virginia,1,16,81,45,36,1,16
1998,First Round,1,Duke,99,16,Radford,63,Not Upset,0,Duke,1,16,99,63,36,1,16
1998,First Round,1,North Carolina,88,16,Navy,52,Not Upset,0,North Carolina,1,16,88,52,36,1,16
1995,First Round,1,UCLA,92,16,Florida International,56,Not Upset,0,UCLA,1,16,92,56,36,1,16
2019,First Round,2,Kentucky,79,15,Abilene Christian,44,Not Upset,0,Kentucky,2,15,79,44,35,2,15
2007,First Round,5,Tennessee,121,12,Long Beach State,86,Not Upset,0,Tennessee,5,12,121,86,35,5,12
2004,First Round,1,Duke,96,16,Alabama State,61,Not Upset,0,Duke,1,16,96,61,35,1,16
2000,Second Round,6,UCLA,105,3,Maryland,70,Upset,1,UCLA,6,3,105,70,35,3,6
1993,First Round,3,Duke,105,14,Southern Illinois,70,Not Upset,0,Duke,3,14,105,70,35,3,14
1991,First Round,1,North Carolina,101,16,Northeastern,66,Not Upset,0,North Carolina,1,16,101,66,35,1,16
1990,First Round,3,Duke,81,14,Richmond,46,Not Upset,0,Duke,3,14,81,46,35,3,14
2019,First Round,4,Kansas,87,13,Northeastern,53,Not Upset,0,Kansas,4,13,87,53,34,4,13
2012,Second Round,7,Florida,84,15,Norfolk State,50,Not Upset,0,Florida,7,15,84,50,34,7,15
2006,First Round,2,UCLA,78,15,Belmont,44,Not Upset,0,UCLA,2,15,78,44,34,2,15
2001,First Round,1,Michigan State,69,16,Alabama State,35,Not Upset,0,Michigan State,1,16,69,35,34,1,16
1997,First Round,2,UCLA,109,15,Charleston Southern,75,Not Upset,0,UCLA,2,15,109,75,34,2,15
1996,First Round,3,Villanova,92,14,Portland,58,Not Upset,0,Villanova,3,14,92,58,34,3,14
1993,Sweet 16,1,Kentucky,103,5,Wake Forest,69,Not Upset,0,Kentucky,1,5,103,69,34,1,5
1991,First Round,1,UNLV,99,16,Montana,65,Not Upset,0,UNLV,1,16,99,65,34,1,16
1989,First Round,1,Arizona,94,16,Robert Morris,60,Not Upset,0,Arizona,1,16,94,60,34,1,16
1987,First Round,1,Indiana,92,16,Fairfield,58,Not Upset,0,Indiana,1,16,92,58,34,1,16
1990,Second Round,11,Loyola Marymount,149,3,Michigan,115,Upset,1,Loyola Marymount,11,3,149,115,34,3,11
2007,First Round,6,Vanderbilt,77,11,George Washington,44,Not Upset,0,Vanderbilt,6,11,77,44,33,6,11
2003,Final Four,3,Marquette,61,2,Kansas,94,Not Upset,0,Kansas,2,3,94,61,33,2,3
1998,Second Round,1,Arizona,82,9,Illinois State,49,Not Upset,0,Arizona,1,9,82,49,33,1,9
1996,First Round,4,Syracuse,88,13,Montana State,55,Not Upset,0,Syracuse,4,13,88,55,33,4,13
1992,First Round,1,Kansas,100,16,Howard,67,Not Upset,0,Kansas,1,16,100,67,33,1,16
2017,Sweet 16,1,Kansas,98,4,Purdue,66,Not Upset,0,Kansas,1,4,98,66,32,1,4
2013,First Round,3,Florida,79,14,Northwestern State,47,Not Upset,0,Florida,3,14,79,47,32,3,14
2011,Second Round,1,Ohio State,98,8,George Mason,66,Not Upset,0,Ohio State,1,8,98,66,32,1,8
2003,Second Round,10,Arizona State,76,2,Kansas,108,Not Upset,0,Kansas,2,10,108,76,32,2,10
1997,First Round,1,Minnesota,78,16,Texas State,46,Not Upset,0,Minnesota,1,16,78,46,32,1,16
1995,First Round,1,Wake Forest,79,16,North Carolina A&T,47,Not Upset,0,Wake Forest,1,16,79,47,32,1,16
1986,First Round,3,Memphis,95,14,Ball State,63,Not Upset,0,Memphis,3,14,95,63,32,3,14
2016,Play-In,16,Fairleigh Dickinson,65,16,Florida Gulf Coast,96,Not Upset,0,Florida Gulf Coast,16,16,96,65,31,16,16
2015,First Round,7,Iowa,83,10,Davidson,52,Not Upset,0,Iowa,7,10,83,52,31,7,10
2013,First Round,1,Louisville,79,16,North Carolina A&T,48,Not Upset,0,Louisville,1,16,79,48,31,1,16
2018,Second Round,5,Clemson,84,4,Auburn,53,Upset,1,Clemson,5,4,84,53,31,4,5
2008,Second Round,1,North Carolina,108,9,Arkansas,77,Not Upset,0,North Carolina,1,9,108,77,31,1,9
2008,First Round,4,Washington State,71,13,Winthrop,40,Not Upset,0,Washington State,4,13,71,40,31,4,13
2003,First Round,1,Kentucky,95,16,IUPUI,64,Not Upset,0,Kentucky,1,16,95,64,31,1,16
1999,Second Round,12,Detroit,44,4,Ohio State,75,Not Upset,0,Ohio State,4,12,75,44,31,4,12
1996,Sweet 16,1,Kentucky,101,4,Utah,70,Not Upset,0,Kentucky,1,4,101,70,31,1,4
1988,Second Round,1,Purdue,100,9,Memphis,73,Not Upset,0,Purdue,1,9,100,73,27,1,9
1993,First Round,1,Michigan,84,16,Coastal Carolina,53,Not Upset,0,Michigan,1,16,84,53,31,1,16
1993,Second Round,11,Tulane,63,3,Florida State,94,Not Upset,0,Florida State,3,11,94,63,31,3,11
1992,Elite Eight,4,Cincinnati,88,6,Memphis,57,Not Upset,0,Cincinnati,4,6,88,57,31,4,6
1987,First Round,1,North Carolina,113,16,Penn,82,Not Upset,0,North Carolina,1,16,113,82,31,1,16
2016,First Round,2,Villanova,86,15,UNC Asheville,56,Not Upset,0,Villanova,2,15,86,56,30,2,15
2011,First Round,8,Michigan,75,9,Tennessee,45,Not Upset,0,Michigan,8,9,75,45,30,8,9
2010,Second Round,1,Kentucky,90,9,Wake Forest,60,Not Upset,0,Kentucky,1,9,90,60,30,1,9
2008,Second Round,6,Oklahoma,48,3,Louisville,78,Not Upset,0,Louisville,3,6,78,48,30,3,6
2003,First Round,2,Florida,85,15,Sam Houston State,55,Not Upset,0,Florida,2,15,85,55,30,2,15
2014,Second Round,6,Baylor,85,3,Creighton,55,Upset,1,Baylor,6,3,85,55,30,3,6
2002,Second Round,1,Maryland,87,8,Wisconsin,57,Not Upset,0,Maryland,1,8,87,57,30,1,8
2000,First Round,1,Duke,85,16,Lamar,55,Not Upset,0,Duke,1,16,85,55,30,1,16
1998,First Round,7,Temple,52,10,West Virginia,82,Upset,1,West Virginia,10,7,82,52,30,7,10
1993,First Round,4,Arkansas,94,13,Holy Cross,64,Not Upset,0,Arkansas,4,13,94,64,30,4,13
1992,First Round,2,Southern California,84,15,Louisiana-Monroe,54,Not Upset,0,Southern California,2,15,84,54,30,2,15
1990,National Championship,1,UNLV,103,3,Duke,73,Not Upset,0,UNLV,1,3,103,73,30,1,3
1990,Elite Eight,1,UNLV,131,11,Loyola Marymount,101,Not Upset,0,UNLV,1,11,131,101,30,1,11
1990,First Round,1,UNLV,102,16,Arkansas-Little Rock,72,Not Upset,0,UNLV,1,16,102,72,30,1,16
1999,Second Round,12,Missouri State,81,4,Tennessee,51,Upset,1,Missouri State,12,4,81,51,30,4,12
2019,First Round,3,Houston,84,14,Georgia State,55,Not Upset,0,Houston,3,14,84,55,29,3,14
2015,First Round,1,Duke,85,16,Robert Morris,56,Not Upset,0,Duke,1,16,85,56,29,1,16
2013,First Round,2,Miami (Fla.),78,15,Pacific,49,Not Upset,0,Miami (Fla.),2,15,78,49,29,2,15
2011,First Round,3,Connecticut,81,14,Bucknell,52,Not Upset,0,Connecticut,3,14,81,52,29,3,14
2011,First Round,1,Ohio State,75,16,Texas-San Antonio,46,Not Upset,0,Ohio State,1,16,75,46,29,1,16
2010,First Round,1,Duke,73,16,Arkansas-Pine Bluff,44,Not Upset,0,Duke,1,16,73,44,29,1,16
2010,First Round,1,Kentucky,100,16,East Tennessee State,71,Not Upset,0,Kentucky,1,16,100,71,29,1,16
2003,First Round,1,Arizona,80,16,Vermont,51,Not Upset,0,Arizona,1,16,80,51,29,1,16
2002,First Round,4,Illinois,93,13,San Diego State,64,Not Upset,0,Illinois,4,13,93,64,29,4,13
2001,First Round,1,Stanford,89,16,UNC Greensboro,60,Not Upset,0,Stanford,1,16,89,60,29,1,16
2001,Second Round,5,Syracuse,58,4,Kansas,87,Not Upset,0,Kansas,4,5,87,58,29,4,5
1997,First Round,5,Tulsa,81,12,Boston University,52,Not Upset,0,Tulsa,5,12,81,52,29,5,12
1996,First Round,4,Utah,72,13,Canisius,43,Not Upset,0,Utah,4,13,72,43,29,4,13
1995,First Round,2,Connecticut,100,15,Chattanooga,71,Not Upset,0,Connecticut,2,15,100,71,29,2,15
1994,First Round,4,Kansas,102,13,Chattanooga,73,Not Upset,0,Kansas,4,13,102,73,29,4,13
2014,First Round,8,Colorado,48,9,Pittsburgh,77,Upset,1,Pittsburgh,9,8,77,48,29,8,9
1991,First Round,2,Duke,102,15,Louisiana-Monroe,73,Not Upset,0,Duke,2,15,102,73,29,2,15
1991,First Round,6,North Carolina State,114,11,Southern Mississippi,85,Not Upset,0,North Carolina State,6,11,114,85,29,6,11
1988,Second Round,1,Arizona,84,8,Seton Hall,55,Not Upset,0,Arizona,1,8,84,55,29,1,8
2019,Second Round,12,Murray St.,62,4,Florida State,90,Not Upset,0,Florida State,4,12,90,62,28,4,12
2016,First Round,4,Kentucky,85,13,Stony Brook,57,Not Upset,0,Kentucky,4,13,85,57,28,4,13
2011,First Round,2,Florida,79,15,UC Santa Barbara,51,Not Upset,0,Florida,2,15,79,51,28,2,15
2009,First Round,2,Oklahoma,82,15,Morgan State,54,Not Upset,0,Oklahoma,2,15,82,54,28,2,15
2007,First Round,2,UCLA,70,15,Weber State,42,Not Upset,0,UCLA,2,15,70,42,28,2,15
2005,First Round,1,North Carolina,96,16,Oakland,68,Not Upset,0,North Carolina,1,16,96,68,28,1,16
2004,Second Round,1,Duke,90,8,Seton Hall,62,Not Upset,0,Duke,1,8,90,62,28,1,8
1988,First Round,1,Oklahoma,94,16,Chattanooga,66,Not Upset,0,Oklahoma,1,16,94,66,28,1,16
1986,Second Round,1,Duke,89,8,Old Dominion,61,Not Upset,0,Duke,1,8,89,61,28,1,8
2018,Sweet 16,3,Michigan,99,7,Texas A&M,72,Not Upset,0,Michigan,3,7,99,72,27,3,7
2016,First Round,3,Texas A&M,92,14,Green Bay,65,Not Upset,0,Texas A&M,3,14,92,65,27,3,14
1992,Elite Eight,1,UCLA,79,2,Indiana,106,Upset,1,Indiana,2,1,106,79,27,1,2
2014,First Round,1,Wichita State,64,16,Cal-Poly,37,Not Upset,0,Wichita State,1,16,64,37,27,1,16
2010,First Round,2,West Virginia,77,15,Morgan State,50,Not Upset,0,West Virginia,2,15,77,50,27,2,15
2007,First Round,4,Virginia,84,13,Albany (N.Y.),57,Not Upset,0,Virginia,4,13,84,57,27,4,13
2005,Second Round,1,North Carolina,92,9,Iowa State,65,Not Upset,0,North Carolina,1,9,92,65,27,1,9
2004,First Round,2,Gonzaga,76,15,Valparaiso,49,Not Upset,0,Gonzaga,2,15,76,49,27,2,15
2000,First Round,7,Tulsa,89,10,UNLV,62,Not Upset,0,Tulsa,7,10,89,62,27,7,10
1998,Second Round,10,St. Louis,61,2,Kentucky,88,Not Upset,0,Kentucky,2,10,88,61,27,2,10
1993,First Round,2,Cincinnati,93,15,Coppin State,66,Not Upset,0,Cincinnati,2,15,93,66,27,2,15
1992,First Round,3,Massachusetts,85,14,Fordham,58,Not Upset,0,Massachusetts,3,14,85,58,27,3,14
1992,First Round,1,Ohio State,83,16,Mississippi Valley State,56,Not Upset,0,Ohio State,1,16,83,56,27,1,16
1992,First Round,2,Oklahoma State,100,15,Georgia Southern,73,Not Upset,0,Oklahoma State,2,15,100,73,27,2,15
1988,First Round,1,Purdue,94,16,Fairleigh Dickinson,79,Not Upset,0,Purdue,1,16,94,79,15,1,16
1994,Second Round,1,Purdue,83,9,Alabama,73,Not Upset,0,Purdue,1,9,83,73,10,1,9
1994,Sweet 16,1,Purdue,83,4,Kansas,78,Not Upset,0,Purdue,1,4,83,78,5,1,4
2018,First Round,3,Tennessee,73,14,Wright State,47,Not Upset,0,Tennessee,3,14,73,47,26,3,14
2018,First Round,1,Villanova,87,16,Radford,61,Not Upset,0,Villanova,1,16,87,61,26,1,16
2017,Second Round,5,Virginia,39,4,Florida,65,Not Upset,0,Florida,4,5,65,39,26,4,5
2016,First Round,1,Kansas,105,16,Austin Peay,79,Not Upset,0,Kansas,1,16,105,79,26,1,16
2013,Second Round,1,Louisville,82,8,Colorado State,56,Not Upset,0,Louisville,1,8,82,56,26,1,8
2012,First Round,7,Florida,71,10,Virginia,45,Not Upset,0,Florida,7,10,71,45,26,7,10
2009,Second Round,1,Connecticut,92,9,Texas A&M,66,Not Upset,0,Connecticut,1,9,92,66,26,1,9
2006,First Round,3,Florida,76,14,South Alabama,50,Not Upset,0,Florida,3,14,76,50,26,3,14
2004,Sweet 16,9,Alabama-Birmingham,74,4,Kansas,100,Not Upset,0,Kansas,4,9,100,74,26,4,9
2004,First Round,1,Stanford,71,16,Texas-San Antonio,45,Not Upset,0,Stanford,1,16,71,45,26,1,16
2000,First Round,3,Ohio State,87,14,Appalachian State,61,Not Upset,0,Ohio State,3,14,87,61,26,3,14
2000,First Round,2,Temple,73,15,Lafayette,47,Not Upset,0,Temple,2,15,73,47,26,2,15
1999,First Round,3,St. John's,69,14,Samford,43,Not Upset,0,St. John's,3,14,69,43,26,3,14
1998,Sweet 16,6,UCLA,68,2,Kentucky,94,Not Upset,0,Kentucky,2,6,94,68,26,2,6
1994,First Round,2,Arizona,81,15,Loyola (Md.),55,Not Upset,0,Arizona,2,15,81,55,26,2,15
1992,First Round,1,Duke,82,16,Campbell,56,Not Upset,0,Duke,1,16,82,56,26,1,16
1991,Sweet 16,1,North Carolina,93,12,Eastern Michigan,67,Not Upset,0,North Carolina,1,12,93,67,26,1,12
1989,Second Round,1,Arizona,94,9,Clemson,68,Not Upset,0,Arizona,1,9,94,68,26,1,9
1988,Second Round,10,Loyola Marymount,97,2,North Carolina,123,Not Upset,0,North Carolina,2,10,123,97,26,2,10
2018,Second Round,7,Rhode Island,62,2,Duke,87,Not Upset,0,Duke,2,7,87,62,25,2,7
1998,Elite Eight,1,Arizona,51,3,Utah,76,Upset,1,Utah,3,1,76,51,25,1,3
2016,First Round,5,Indiana,99,12,Chattanooga,74,Not Upset,0,Indiana,5,12,99,74,25,5,12
2016,Second Round,10,Syracuse,75,15,Middle Tennessee State,50,Not Upset,0,Syracuse,10,15,75,50,25,10,15
2013,First Round,2,Ohio State,95,15,Iona,70,Not Upset,0,Ohio State,2,15,95,70,25,2,15
2013,Second Round,5,Virginia Commonwealth,53,4,Michigan,78,Not Upset,0,Michigan,4,5,78,53,25,4,5
2007,First Round,2,Georgetown,80,15,Belmont,55,Not Upset,0,Georgetown,2,15,80,55,25,2,15
2004,First Round,4,Kansas,78,13,Illinois-Chicago,53,Not Upset,0,Kansas,4,13,78,53,25,4,13
2001,First Round,2,Arizona,101,15,Eastern Illinois,76,Not Upset,0,Arizona,2,15,101,76,25,2,15
2001,First Round,5,Cincinnati,84,12,Brigham Young,59,Not Upset,0,Cincinnati,5,12,84,59,25,5,12
2001,Second Round,12,Utah State,50,4,UCLA,75,Not Upset,0,UCLA,4,12,75,50,25,4,12
1999,First Round,1,Connecticut,91,16,Texas-San Antonio,66,Not Upset,0,Connecticut,1,16,91,66,25,1,16
1999,Second Round,6,Indiana,61,3,St. John's,86,Not Upset,0,St. John's,3,6,86,61,25,3,6
1996,Second Round,10,Santa Clara,51,2,Kansas,76,Not Upset,0,Kansas,2,10,76,51,25,2,10
1995,Sweet 16,6,Tulsa,51,2,Massachusetts,76,Not Upset,0,Massachusetts,2,6,76,51,25,2,6
1993,Elite Eight,1,Kentucky,106,3,Florida State,81,Not Upset,0,Kentucky,1,3,106,81,25,1,3
1987,Second Round,7,New Orleans,76,2,Alabama,101,Not Upset,0,Alabama,2,7,101,76,25,2,7
1987,First Round,3,Pittsburgh,93,14,Marist,68,Not Upset,0,Pittsburgh,3,14,93,68,25,3,14
1987,First Round,1,UNLV,95,16,Idaho State,70,Not Upset,0,UNLV,1,16,95,70,25,1,16
2017,Second Round,11,Xavier,91,3,Florida State,66,Upset,1,Xavier,11,3,91,66,25,3,11
1986,First Round,1,Kansas,71,16,North Carolina A&T,46,Not Upset,0,Kansas,1,16,71,46,25,1,16
1985,First Round,1,Georgetown,68,16,Lehigh,43,Not Upset,0,Georgetown,1,16,68,43,25,1,16
2017,Elite Eight,1,Gonzaga,83,11,Xavier,59,Not Upset,0,Gonzaga,1,11,83,59,24,1,11
2014,First Round,3,Syracuse,77,14,Western Michigan,53,Not Upset,0,Syracuse,3,14,77,53,24,3,14
2012,First Round,4,Wisconsin,73,13,Montana,49,Not Upset,0,Wisconsin,4,13,73,49,24,4,13
2009,First Round,2,Duke,86,15,Binghamton,62,Not Upset,0,Duke,2,15,86,62,24,2,15
2008,First Round,1,Kansas,85,16,Portland State,61,Not Upset,0,Kansas,1,16,85,61,24,1,16
2008,First Round,1,Memphis,87,16,Texas-Arlington,63,Not Upset,0,Memphis,1,16,87,63,24,1,16
2008,First Round,3,Stanford,77,14,Cornell,53,Not Upset,0,Stanford,3,14,77,53,24,3,14
2004,Second Round,5,Illinois,92,4,Cincinnati,68,Upset,1,Illinois,5,4,92,68,24,4,5
2001,First Round,4,Kansas,99,13,Cal State Northridge,75,Not Upset,0,Kansas,4,13,99,75,24,4,13
2000,First Round,1,Arizona,71,16,Jackson State,47,Not Upset,0,Arizona,1,16,71,47,24,1,16
2000,Sweet 16,6,UCLA,56,2,Iowa State,80,Not Upset,0,Iowa State,2,6,80,56,24,2,6
1999,First Round,3,Cincinnati,72,14,George Mason,48,Not Upset,0,Cincinnati,3,14,72,48,24,3,14
1996,Second Round,1,Kentucky,84,9,Virginia Tech,60,Not Upset,0,Kentucky,1,9,84,60,24,1,9
1996,First Round,4,Marquette,68,13,Monmouth,44,Not Upset,0,Marquette,4,13,68,44,24,4,13
1996,Elite Eight,1,Massachusetts,86,2,Georgetown,62,Not Upset,0,Massachusetts,1,2,86,62,24,1,2
1995,Sweet 16,1,Kentucky,97,5,Arizona State,73,Not Upset,0,Kentucky,1,5,97,73,24,1,5
1995,First Round,3,Maryland,87,14,Gonzaga,63,Not Upset,0,Maryland,3,14,87,63,24,3,14
1995,First Round,4,Oklahoma State,73,13,Drexel,49,Not Upset,0,Oklahoma State,4,13,73,49,24,4,13
1995,First Round,4,Virginia,96,13,Nicholls State,72,Not Upset,0,Virginia,4,13,96,72,24,4,13
1996,First Round,1,Purdue,73,16,Western Carolina,71,Not Upset,0,Purdue,1,16,73,71,2,1,16
1990,First Round,1,Connecticut,76,16,Boston University,52,Not Upset,0,Connecticut,1,16,76,52,24,1,16
1986,First Round,4,Illinois,75,13,Fairfield,51,Not Upset,0,Illinois,4,13,75,51,24,4,13
1985,First Round,5,Louisiana Tech,78,12,Pittsburgh,54,Not Upset,0,Louisiana Tech,5,12,78,54,24,5,12
1985,First Round,1,St. John's,83,16,Southern,59,Not Upset,0,St. John's,1,16,83,59,24,1,16
2019,First Round,1,Duke,85,16,North Dakota State,62,Not Upset,0,Duke,1,16,85,62,23,1,16
2018,Second Round,13,Marshall,71,5,West Virginia,94,Not Upset,0,West Virginia,5,13,94,71,23,5,13
2018,Second Round,1,Villanova,81,9,Alabama,58,Not Upset,0,Villanova,1,9,81,58,23,1,9
2016,Sweet 16,3,Miami (Fla.),69,2,Villanova,92,Not Upset,0,Villanova,2,3,92,69,23,2,3
2015,First Round,1,Kentucky,79,16,Hampton,56,Not Upset,0,Kentucky,1,16,79,56,23,1,16
2014,Second Round,1,Arizona,84,8,Gonzaga,61,Not Upset,0,Arizona,1,8,84,61,23,1,8
2013,Second Round,6,Arizona,74,14,Harvard,51,Not Upset,0,Arizona,6,14,74,51,23,6,14
2009,Sweet 16,3,Villanova,77,2,Duke,54,Upset,1,Villanova,3,2,77,54,23,2,3
2012,First Round,7,Gonzaga,77,10,West Virginia,54,Not Upset,0,Gonzaga,7,10,77,54,23,7,10
2011,First Round,1,Pittsburgh,74,16,UNC Asheville,51,Not Upset,0,Pittsburgh,1,16,74,51,23,1,16
2010,Sweet 16,3,Baylor,72,10,St. Mary's (Cal.),49,Not Upset,0,Baylor,3,10,72,49,23,3,10
2010,First Round,3,Pittsburgh,89,14,Oakland,66,Not Upset,0,Pittsburgh,3,14,89,66,23,3,14
2010,First Round,1,Syracuse,79,16,Vermont,56,Not Upset,0,Syracuse,1,16,79,56,23,1,16
1985,First Round,4,LSU,55,13,Navy,78,Upset,1,Navy,13,4,78,55,23,4,13
2002,Second Round,1,Kansas,86,8,Stanford,63,Not Upset,0,Kansas,1,8,86,63,23,1,8
2001,Second Round,5,Cincinnati,66,13,Kent State,43,Not Upset,0,Cincinnati,5,13,66,43,23,5,13
1999,First Round,1,Michigan State,76,16,Mount St. Mary's,53,Not Upset,0,Michigan State,1,16,76,53,23,1,16
1998,First Round,8,Rhode Island,97,9,Murray St.,74,Not Upset,0,Rhode Island,8,9,97,74,23,8,9
1997,Elite Eight,1,North Carolina,97,6,Louisville,74,Not Upset,0,North Carolina,1,6,97,74,23,1,6
1994,First Round,1,Missouri,76,16,Navy,53,Not Upset,0,Missouri,1,16,76,53,23,1,16
2019,First Round,8,Mississippi,72,9,Oklahoma,95,Upset,1,Oklahoma,9,8,95,72,23,8,9
1993,First Round,5,Wake Forest,81,12,Chattanooga,58,Not Upset,0,Wake Forest,5,12,81,58,23,5,12
1992,First Round,8,Louisville,81,9,Wake Forest,58,Not Upset,0,Louisville,8,9,81,58,23,8,9
1992,Second Round,1,Ohio State,78,9,Connecticut,55,Not Upset,0,Ohio State,1,9,78,55,23,1,9
1991,Sweet 16,1,Arkansas,93,4,Alabama,70,Not Upset,0,Arkansas,1,4,93,70,23,1,4
2005,First Round,8,Stanford,70,9,Mississippi State,93,Upset,1,Mississippi State,9,8,93,70,23,8,9
1990,Sweet 16,8,North Carolina,73,4,Arkansas,96,Not Upset,0,Arkansas,4,8,96,73,23,4,8
1989,First Round,2,Syracuse,104,15,Bucknell,81,Not Upset,0,Syracuse,2,15,104,81,23,2,15
1989,Elite Eight,4,UNLV,61,3,Seton Hall,84,Not Upset,0,Seton Hall,3,4,84,61,23,3,4
1989,Second Round,7,UTEP,69,2,Indiana,92,Not Upset,0,Indiana,2,7,92,69,23,2,7
1988,Second Round,6,Florida,85,3,Michigan,108,Not Upset,0,Michigan,3,6,108,85,23,3,6
1987,First Round,2,Iowa,99,15,Santa Clara,76,Not Upset,0,Iowa,2,15,99,76,23,2,15
2016,Second Round,11,Gonzaga,82,3,Utah,59,Upset,1,Gonzaga,11,3,82,59,23,3,11
1986,First Round,4,UNLV,74,13,Louisiana-Monroe,51,Not Upset,0,UNLV,4,13,74,51,23,4,13
